order_id,order_date,order_time,customer_id,item_name,category,price,quantity,weather,temperature,humidity,customer_mood,payment_method,dine_type,total_amount
1,2025-11-24,08:01,C1280,Pasta,Meal,320,3,Sunny,29,46,Romantic,UPI,Takeaway,960
2,2025-01-17,07:05,C1280,Hot Chocolate,Beverage,220,2,Cloudy,24,73,Relaxed,Card,Dine-In,440
3,2025-08-18,16:17,C1143,Cold Coffee,Beverage,230,1,Windy,23,61,Stressed,UPI,Dine-In,230
4,2025-06-22,08:05,C1023,Masala Tea,Tea,120,1,Rainy,22,92,Stressed,Cash,Takeaway,120
5,2025-10-02,08:59,C1099,Masala Tea,Tea,120,1,Cloudy,28,70,Energetic,Cash,Dine-In,120
6,2025-01-24,17:14,C1143,Cold Coffee,Beverage,230,3,Hot,35,36,Sad,Card,Takeaway,690
7,2025-03-25,12:22,C1088,Hot Chocolate,Beverage,220,3,Cloudy,24,74,Romantic,Cash,Dine-In,660
8,2025-03-25,14:24,C1017,Iced Coffee,Coffee,210,2,Cloudy,24,68,Tired,Card,Takeaway,420
9,2025-05-18,08:13,C1235,Lemonade,Beverage,150,3,Sunny,31,51,Romantic,UPI,Takeaway,450
10,2025-03-13,10:47,C1186,Cheesecake,Dessert,240,3,Cloudy,27,74,Sad,UPI,Dine-In,720
11,2025-09-18,14:05,C1217,Cold Coffee,Beverage,230,1,Hot,35,45,Relaxed,Cash,Dine-In,230
12,2025-07-17,13:38,C1059,Brownie,Dessert,160,3,Hot,34,45,Romantic,Cash,Takeaway,480
13,2025-11-25,12:07,C1092,Iced Coffee,Coffee,210,4,Sunny,28,49,Energetic,Cash,Dine-In,840
14,2025-11-17,11:53,C1272,Chicken Sandwich,Snack,240,2,Sunny,29,53,Tired,UPI,Takeaway,480
15,2025-09-08,07:07,C1124,Lemonade,Beverage,150,3,Hot,36,38,Happy,Cash,Dine-In,450
16,2025-02-13,18:31,C1244,Muffin,Dessert,130,1,Hot,38,37,Relaxed,Cash,Dine-In,130
17,2025-05-16,15:55,C1160,Veg Sandwich,Snack,180,4,Hot,38,38,Romantic,Card,Takeaway,720
18,2025-08-13,21:33,C1284,Brownie,Dessert,160,1,Sunny,28,50,Happy,UPI,Dine-In,160
19,2025-01-04,08:45,C1264,Chicken Sandwich,Snack,240,1,Sunny,28,50,Happy,UPI,Takeaway,240
20,2025-12-09,14:13,C1125,Cheesecake,Dessert,240,2,Cloudy,28,74,Sad,Card,Takeaway,480
21,2025-04-08,08:06,C1028,Chicken Sandwich,Snack,240,4,Rainy,23,90,Tired,Cash,Dine-In,960
22,2025-02-01,13:46,C1072,Green Tea,Tea,140,1,Sunny,29,53,Sad,Card,Dine-In,140
23,2025-05-23,14:15,C1277,Muffin,Dessert,130,1,Rainy,24,84,Happy,UPI,Dine-In,130
24,2025-05-02,09:26,C1195,Brownie,Dessert,160,4,Sunny,31,45,Relaxed,UPI,Takeaway,640
25,2025-05-16,21:50,C1250,Cold Coffee,Beverage,230,4,Sunny,32,55,Romantic,UPI,Dine-In,920
26,2025-06-01,10:03,C1245,Veg Sandwich,Snack,180,1,Cloudy,24,65,Energetic,Cash,Dine-In,180
27,2025-01-30,15:05,C1121,Muffin,Dessert,130,2,Sunny,28,55,Tired,Card,Dine-In,260
28,2025-10-19,10:37,C1290,Veg Sandwich,Snack,180,1,Cloudy,27,75,Energetic,Cash,Takeaway,180
29,2025-05-14,10:42,C1154,Pasta,Meal,320,3,Sunny,31,47,Romantic,Card,Takeaway,960
30,2025-02-07,07:29,C1068,Veg Sandwich,Snack,180,1,Sunny,29,53,Stressed,Card,Dine-In,180
31,2025-05-06,12:18,C1271,Espresso,Coffee,150,4,Windy,24,64,Tired,UPI,Takeaway,600
32,2025-12-06,08:56,C1140,Espresso,Coffee,150,3,Sunny,28,53,Relaxed,Card,Dine-In,450
33,2025-06-25,10:43,C1217,Chicken Sandwich,Snack,240,3,Cloudy,26,65,Happy,Card,Dine-In,720
34,2025-01-02,12:49,C1219,Espresso,Coffee,150,3,Sunny,31,53,Romantic,Cash,Dine-In,450
35,2025-02-27,08:56,C1076,Pasta,Meal,320,2,Cloudy,26,74,Energetic,Card,Dine-In,640
36,2025-01-22,11:23,C1053,Lemonade,Beverage,150,1,Hot,35,45,Relaxed,Card,Takeaway,150
37,2025-11-14,18:09,C1092,Lemonade,Beverage,150,2,Hot,35,41,Happy,Cash,Takeaway,300
38,2025-07-30,19:42,C1020,Muffin,Dessert,130,2,Sunny,28,51,Tired,Card,Dine-In,260
39,2025-04-13,20:58,C1099,Brownie,Dessert,160,3,Rainy,21,86,Happy,Card,Takeaway,480
40,2025-05-23,20:04,C1275,Cold Coffee,Beverage,230,3,Rainy,24,89,Romantic,Card,Dine-In,690
41,2025-03-01,21:16,C1161,Espresso,Coffee,150,3,Sunny,32,51,Stressed,Card,Dine-In,450
42,2025-07-17,21:36,C1276,Hot Chocolate,Beverage,220,3,Sunny,31,45,Energetic,Cash,Dine-In,660
43,2025-07-06,13:04,C1159,Chicken Sandwich,Snack,240,3,Cloudy,24,69,Energetic,Cash,Takeaway,720
44,2025-06-17,13:44,C1090,Iced Coffee,Coffee,210,2,Sunny,31,55,Romantic,Cash,Takeaway,420
45,2025-07-27,15:53,C1165,Cappuccino,Coffee,180,3,Sunny,31,54,Energetic,Card,Takeaway,540
